Twitter Username,Stripped Name,Handle
Rep. Ted Lieu,Ted Lieu,RepTedLieu
Congresswoman Amata,Amata,RepAmata
Pete Aguilar,Pete Aguilar,RepPeteAguilar
Rep. Glenn Grothman,Glenn Grothman,RepGrothman
Rep. Mia Love,Mia Love,RepMiaLove
Mark Takai,Mark Takai,RepMarkTakai
Congressman Hice,Hice,CongressmanHice
Buddy Carter,Buddy Carter,RepBuddyCarter
Kathleen Rice,Kathleen Rice,RepKathleenRice
Rep. Debbie Dingell,Debbie Dingell,RepDebDingell
Bonnie WatsonColeman,Bonnie WatsonColeman,RepBonnie
Mark DeSaulnier,Mark DeSaulnier,RepDeSaulnier
John Katko,John Katko,RepJohnKatko
Rep. Steve Russell,Steve Russell,RepRussell
Ruben Gallego,Ruben Gallego,RepRubenGallego
Congressman Rod Blum,Rod Blum,RepRodBlum
Martha McSally,Martha McSally,RepMcSally
Rep. Mike Bost,Mike Bost,RepBost
Rep. Alex Mooney,Alex Mooney,RepAlexMooney
Brad Ashford,Brad Ashford,RepBradAshford
Rick W. Allen,Rick Allen,RepRickAllen
Rep. Cresent Hardy,Cresent Hardy,RepHardy
Senator Thom Tillis,Thom Tillis,SenThomTillis
Rep. Will Hurd,Will Hurd,HurdOnTheHill
Tom MacArthur,Tom MacArthur,RepTomMacArthur
Senator Ben Sasse,Ben Sasse,SenSasse
Rep. Ralph Abraham,Ralph Abraham,RepAbraham
Rep. Don Beyer,Don Beyer,RepDonBeyer
Rep. Elise Stefanik,Elise Stefanik,RepStefanik
Rep. Gwen Graham,Gwen Graham,RepGwenGraham
Senator Mike Rounds,Mike Rounds,SenatorRounds
French Hill,French Hill,RepFrenchHill
Rep. Ryan Costello,Ryan Costello,RepRyanCostello
Rep. Evan Jenkins,Evan Jenkins,RepEvanJenkins
Ryan Zinke,Ryan Zinke,RepRyanZinke
Rep. Garret Graves,Garret Graves,RepGarretGraves
Barbara Comstock,Barbara Comstock,RepComstock
Rep. Bruce Poliquin,Bruce Poliquin,RepPoliquin
Rep Dan Newhouse,Dan Newhouse,RepNewhouse
Brian Babin,Brian Babin,RepBrianBabin
Alma S. Adams,Alma Adams,RepAdams
Mike Bishop,Mike Bishop,RepMikeBishop
Tom Emmer,Tom Emmer,RepTomEmmer
Barry Loudermilk,Barry Loudermilk,RepLoudermilk
SenDanSullivan,DanSullivan,SenDanSullivan
Rep. Dave Trott,Dave Trott,repdavetrott
Steve Knight,Steve Knight,UnofficialSK
David Perdue,David Perdue,sendavidperdue
Brenda Lawrence,Brenda Lawrence,RepLawrence
Congressman Ken Buck,Ken Buck,RepKenBuck
Gary Palmer,Gary Palmer,USRepGaryPalmer
Joni Ernst,Joni Ernst,SenJoniErnst
Rep. Carlos Curbelo,Carlos Curbelo,RepCurbelo
Rep. Bruce Westerman,Bruce Westerman,RepWesterman
John Ratcliffe,John Ratcliffe,RepRatcliffe
Lee Zeldin,Lee Zeldin,RepLeeZeldin
Rep. Curt Clawson,Curt Clawson,RepCurtClawson
Rep. Stacey Plaskett,Stacey Plaskett,StaceyPlaskett
Rep. John Moolenaar,John Moolenaar,RepMoolenaar
Rep. Dave Brat,Dave Brat,RepDaveBrat
David Jolly,David Jolly,USRepDavidJolly
Alcee L. Hastings,Alcee Hastings,RepHastingsFL
Rob Woodall,Rob Woodall,RepRobWoodall
Katherine Clark,Katherine Clark,RepKClark
Rep. Bradley Byrne,Bradley Byrne,RepByrne
Rep. Brett Guthrie,Brett Guthrie,RepGuthrie
Rep John Duncan Jr. ,John Duncan,RepJohnDuncanJr
US Rep Kathy Castor,Kathy Castor,USRepKCastor
Blaine Luetkemeyer,Blaine Luetkemeyer,RepBlainePress
Rep. Jason Smith,Jason Smith,RepJasonSmith
Joyce Beatty,Joyce Beatty,RepBeatty
Mark Sanford,Mark Sanford,RepSanfordSC
U.S. Rep. Billy Long,Billy Long,USRepLong
Rep. Peter Welch,Peter Welch,PeterWelch
Rodney Frelinghuysen,Rodney Frelinghuysen,USRepRodney
Rep. Duncan Hunter,Duncan Hunter,Rep_Hunter
Rep. Chris Smith,Chris Smith,RepChrisSmith
Tim Walz,Tim Walz,RepTimWalz
Rep. Juan Vargas,Juan Vargas,RepJuanVargas
Leader McConnell,Leader McConnell,SenateMajLdr
Julia Brownley,Julia Brownley,JuliaBrownley26
Rep. Tony Cárdenas,Tony Cárdenas,RepCardenas
Rep. Steve Scalise,Steve Scalise,SteveScalise
U.S. Rep. Mark Pocan,Mark Pocan,repmarkpocan
Donald Payne Jr.,Donald Payne,RepDonaldPayne
Keith Rothfus,Keith Rothfus,KeithRothfus
Rep. Scott Peters,Scott Peters,RepScottPeters
Rep. Beto O'Rourke,Beto O'Rourke,RepBetoORourke
Rep. Patrick Murphy,Patrick Murphy,RepMurphyFL
Rep. David Valadao,David Valadao,RepDavidValadao
Martin Heinrich,Martin Heinrich,MartinHeinrich
Senator Jim Risch,Jim Risch,SenatorRisch
Rep. Cheri Bustos,Cheri Bustos,RepCheri
Jim Bridenstine,Jim Bridenstine,RepJBridenstine
Rep. Ann Kirkpatrick,Ann Kirkpatrick,RepKirkpatrick
Raul Ruiz ,Raul Ruiz,CongressmanRuiz
Rep. Andy Barr,Andy Barr,RepAndyBarr
US Rep. Filemon Vela,Filemon Vela,RepFilemonVela
Kyrsten Sinema,Kyrsten Sinema,RepSinema
Bill Foster,Bill Foster,RepBillFoster
Rep. Roger Williams,Roger Williams,RepRWilliams
Rep. Lois Frankel,Lois Frankel,RepLoisFrankel
Sen. Tammy Baldwin,Tammy Baldwin,SenatorBaldwin
Senator Ted Cruz,Ted Cruz,SenTedCruz
Rep. Paul Cook,Paul Cook,RepPaulCook
Rep. Marc Veasey,Marc Veasey,RepVeasey
Susan W. Brooks ,Susan Brooks,SusanWBrooks
Sean Patrick Maloney,Sean Patrick Maloney,RepSeanMaloney
Pete Gallego,Pete Gallego,RepPeteGallego
Matt Salmon,Matt Salmon,RepMattSalmon
Rep. Chris Stewart,Chris Stewart,RepChrisStewart
Ted Yoho,Ted Yoho,RepTedYoho
Senator Deb Fischer,Deb Fischer,SenatorFischer
Rep. Doug LaMalfa,Doug LaMalfa,RepLaMalfa
Denny Heck,Denny Heck,RepDennyHeck
Senator Angus King,Angus King,SenAngusKing
Jackie Walorski,Jackie Walorski,RepWalorski
Rep. Tulsi Gabbard,Tulsi Gabbard,TulsiPress
MichelleLujanGrisham,MichelleLujanGrisham,RepLujanGrisham
Rep. Jeff Miller,Jeff Miller,RepJeffMiller
Sen. Heidi Heitkamp,Heidi Heitkamp,SenatorHeitkamp
Elizabeth Esty,Elizabeth Esty,RepEsty
Doug Collins,Doug Collins,RepDougCollins
Markwayne Mullin,Markwayne Mullin,RepMullin
Rep. Derek Kilmer,Derek Kilmer,RepDerekKilmer
Ron DeSantis,Ron DeSantis,RepDeSantis
Ann McLane Kuster,Ann McLane Kuster,RepAnnieKuster
Tammy Duckworth,Tammy Duckworth,RepDuckworth
 George Holding,George Holding,RepHolding
Congressman Tom Rice,Tom Rice,RepTomRice
Rep. Chris Collins,Chris Collins,RepChrisCollins
Randy Weber,Randy Weber,TXRandy14
Rep. Joe Kennedy III,Joe Kennedy III,RepJoeKennedy
Rep. Alan Lowenthal,Alan Lowenthal,RepLowenthal
US Rep. Rick Nolan,Rick Nolan,USRepRickNolan
Grace Meng,Grace Meng,RepGraceMeng
Rep. Kevin Cramer,Kevin Cramer,RepKevinCramer
Rep. Luke Messer,Luke Messer,RepLukeMesser
Rep. Dan Kildee,Dan Kildee,RepDanKildee
Mark Takano,Mark Takano,RepMarkTakano
Rep. Daniel Lipinski,Daniel Lipinski,RepLipinski
Rep. Suzan DelBene,Suzan DelBene,RepDelBene
US Rep Rodney Davis,Rodney Davis,RodneyDavis
Dave Joyce,Dave Joyce,RepDaveJoyce
Thomas Massie,Thomas Massie,RepThomasMassie
Elizabeth Warren,Elizabeth Warren,SenWarren
Tom Cotton,Tom Cotton,SenTomCotton
Mark Meadows,Mark Meadows,RepMarkMeadows
"Rep. Andy Harris, MD","Andy Harris, MD",RepAndyHarrisMD
Scott Garrett,Scott Garrett,RepGarrett
Congressman Ami Bera,Ami Bera,RepBera
Rep Robert Pittenger,Robert Pittenger,reppittenger
Rep. Eric Swalwell,Eric Swalwell,RepSwalwell
Rep. John Delaney,John Delaney,RepJohnDelaney
Rep. Mike Kelly,Mike Kelly,MikeKellyPA
Richard Hudson,Richard Hudson,RepRichHudson
Rep. Pat Tiberi,Pat Tiberi,PatTiberi
Sensenbrenner Press,Sensenbrenner Press,JimPressOffice
David Rouzer,David Rouzer,RepDavidRouzer
Rep. Danny Davis,Danny Davis,RepDannyDavis
Elijah E. Cummings,Elijah Cummings,RepCummings
Matt Cartwright,Matt Cartwright,RepCartwright
Rep. Leonard Lance,Leonard Lance,RepLanceNJ7
Senator Mike Crapo,Mike Crapo,MikeCrapo
Lacy Clay,Lacy Clay,LacyClayMO1
